,date,symbol,gap,pos_type,now_open
29303,2020-01-21,BLCM,0.09170307495,short,25
125103,2020-01-21,KOLD,0.06063292237,short,47.93000031
70830,2020-01-21,EDZ,0.06026848967,short,32.33251031
21936,2020-01-21,AVYA,0.05628369524,short,13.69999981
107351,2020-01-21,HTRB,0.04996519847,short,40.41204477
79084,2020-01-21,EVRG,0.04292295212,short,66.04590154
210517,2020-01-21,SPCE,0.04283881764,short,16.30999947
258534,2020-01-21,ZSL,0.03980292562,short,109.7200012
230055,2020-01-21,TSLA,0.03868760663,short,106.0500031
43967,2020-01-21,CFRX,0.03846159489,short,10.80000019
75832,2020-01-21,EPZM,0.03555392168,short,27.67000008
24120,2020-01-21,AZRE,0.03161390568,short,12.39999962
100051,2020-01-21,GTHX,0.03154571048,short,26.15999985
243986,2020-01-21,VRDN,0.03030305074,short,10.19999981
33379,2020-01-21,BRTX,0.02857140132,short,14.39999962
119770,2020-01-21,JDST,0.02851708198,short,267.9811803
141507,2020-01-21,MGNX,0.02841915527,short,11.57999992
184803,2020-01-21,QTRX,0.02822749277,short,24.77000046
173348,2020-01-21,PERI,0.02787067921,short,9.220000267
241288,2020-01-21,VIRT,0.02783183025,short,14.80922743
146039,2020-01-21,MRNS,0.02654864736,short,9.279999733
83440,2020-01-21,FBRX,0.02653397115,short,9.284999847
8440,2020-01-21,ALLT,0.02531653337,short,9.720000267
48632,2020-01-21,CMMB,0.02531643086,short,25.92000008
101832,2020-01-21,HBMD,0.02498513323,short,17.22999954
2442,2020-01-22,ACMR,0.07804082433,short,46
118595,2020-01-22,JAKK,0.0747663743,short,11.5
210518,2020-01-22,SPCE,0.0653179837,short,18.43000031
125672,2020-01-22,KORU,0.06283517713,short,27.73737534
218392,2020-01-22,SURG,0.0625,short,17
57931,2020-01-22,CVM,0.05433901707,short,13
199978,2020-01-22,SE,0.05422410528,short,43.54999924
8494,2020-01-22,ALLY,0.05155309035,short,30.22550453
135751,2020-01-22,LX,0.05129959,short,15.36999989
255959,2020-01-22,YINN,0.05031129799,short,21.63811996
112913,2020-01-22,INDP,0.0498221024,short,47.20000076
256181,2020-01-22,YMTX,0.04712039793,short,40
230056,2020-01-22,TSLA,0.04512057566,short,114.3779984
106492,2020-01-22,HRTX,0.04302476146,short,24
77619,2020-01-22,ETN,0.04020316702,short,94.65094095
232227,2020-01-22,TX,0.03910120251,short,21.91374076
33696,2020-01-22,BRZU,0.03851759665,short,1223.971586
59210,2020-01-22,CYCC,0.03846156197,short,16.20000076
33380,2020-01-22,BRTX,0.0344827246,short,12
57069,2020-01-22,CUEN,0.03392569244,short,12.80000019
201381,2020-01-22,SFBS,0.03309434928,short,36.34672655
198591,2020-01-22,SCO,0.03127389869,short,54.08000183
108770,2020-01-22,IBM,0.02981955245,short,125.6071078
56851,2020-01-22,CUE,0.02933330536,short,15.43999958
247494,2020-01-22,WB,0.02855196671,short,45.38999939
172274,2020-01-23,PCG,0.0765550272,short,13.5
79399,2020-01-23,EWBC,0.0750422524,short,48.63771836
223484,2020-01-23,TER,0.07419495266,short,78.46118363
182022,2020-01-23,PTC,0.06954353221,short,85.51000214
81704,2020-01-23,EYPT,0.06832300344,short,17.20000076
255237,2020-01-23,YANG,0.06240335279,short,41.12866427
157890,2020-01-23,NSPR,0.05468745809,short,20.25
185533,2020-01-23,QURE,0.05211721285,short,64.59999847
198592,2020-01-23,SCO,0.05061459242,short,58.11999893
171090,2020-01-23,PAYC,0.04939333634,short,318.2600098
70832,2020-01-23,EDZ,0.04674345283,short,33.55109766
132376,2020-01-23,LOB,0.04421960553,short,19.45307544
105063,2020-01-23,HNDL,0.04319611311,short,22.74744073
112272,2020-01-23,IMTE,0.04318100622,short,9.156000137
66034,2020-01-23,DRIP,0.04316723572,short,66.85093362
81228,2020-01-23,EYE,0.04166663945,short,36.5
98615,2020-01-23,GREE,0.04032252572,short,11.21739101
25435,2020-01-23,BBWI,0.04003990745,short,16.51554819
59211,2020-01-23,CYCC,0.0394737098,short,15.80000019
29305,2020-01-23,BLCM,0.03773581171,short,22
235121,2020-01-23,UMPQ,0.03497283106,short,17.35723907
56699,2020-01-23,CTXS,0.0329808331,short,120.6185598
94411,2020-01-23,GE,0.03166217821,short,93.69025369
76521,2020-01-23,ERY,0.0282004422,short,45.91604275
105661,2020-01-23,HOPE,0.02810142885,short,13.55461573
243987,2020-01-24,VRDN,0.0970588029,short,11.18999958
222539,2020-01-24,TEAM,0.09318456474,short,145
161087,2020-01-24,NXGN,0.07470185256,short,17.12000084
57661,2020-01-24,CVLG,0.06816422346,short,13.78999996
35116,2020-01-24,BTTR,0.06666670905,short,9.600000381
84860,2020-01-24,FFIN,0.0527242532,short,35.00065988
176994,2020-01-24,PLL,0.05211109585,short,9.468999863
29306,2020-01-24,BLCM,0.0514018879,short,22.5
114188,2020-01-24,INTC,0.0513264845,short,63.3131842
196481,2020-01-24,SBCF,0.04644076679,short,30.62889659
91932,2020-01-24,FWBI,0.0453283767,short,11.30000019
178029,2020-01-24,PMCB,0.04436221385,short,87.57499695
2444,2020-01-24,ACMR,0.03924495521,short,41.84000015
209861,2020-01-24,SOXL,0.03919956525,short,21.90276688
59212,2020-01-24,CYCC,0.03846156197,short,16.20000076
22765,2020-01-24,AXP,0.03798421131,short,132.8835984
33382,2020-01-24,BRTX,0.0344827246,short,12
125105,2020-01-24,KOLD,0.03443983031,short,49.86000061
21146,2020-01-24,AVGO,0.03394336554,short,308.911879
30774,2020-01-24,BMRN,0.03223172048,short,88.38999939
97243,2020-01-24,GNRC,0.03000295205,short,106.0800018
151859,2020-01-24,NCTY,0.03000001907,short,10.30000019
198593,2020-01-24,SCO,0.02992347311,short,59.20000076
199979,2020-01-24,SE,0.0292737737,short,46.06000137
112915,2020-01-24,INDP,0.02909088135,short,45.27999878
210219,2020-01-27,SOXS,0.08620687992,short,241.4808973
242067,2020-01-27,VIXY,0.08539709622,short,50.84000015
66035,2020-01-27,DRIP,0.08163255636,short,76.84149666
178030,2020-01-27,PMCB,0.07000003938,short,82.92500305
223129,2020-01-27,TECS,0.0673400259,short,633.1315239
213573,2020-01-27,SQQQ,0.06628971821,short,103.4547359
31415,2020-01-27,BOIL,0.0606060477,short,66.5
37594,2020-01-27,BZQ,0.06041326128,short,40.00097389
76522,2020-01-27,ERY,0.05921333402,short,49.52416302
198594,2020-01-27,SCO,0.05614974268,short,63.20000076
127998,2020-01-27,LABD,0.05188343274,short,295.3166911
212875,2020-01-27,SPXU,0.05151351159,short,98.86135541
212708,2020-01-27,SPXS,0.05132323029,short,131.0045221
199642,2020-01-27,SDOW,0.0496142508,short,152.1581749
82785,2020-01-27,FAZ,0.04908208127,short,223.8649693
232600,2020-01-27,TZA,0.04545462203,short,295.9951375
33383,2020-01-27,BRTX,0.04545450112,short,9.199999809
214469,2020-01-27,SRTY,0.04477621023,short,94.4162616
183660,2020-01-27,QID,0.0439046635,short,89.17229368
77875,2020-01-27,EUM,0.04147188452,short,17.81364112
159188,2020-01-27,NUGT,0.04056433656,short,177
225906,2020-01-27,TMF,0.0398380208,short,29.48924364
67358,2020-01-27,DUG,0.03983336093,short,44.88833496
121011,2020-01-27,JNUG,0.03569159018,short,807.0165257
199760,2020-01-27,SDS,0.03519053179,short,24.66964269
49257,2020-01-28,CNCE,0.09979836326,short,10.90999985
139741,2020-01-28,MDVL,0.09848481382,short,17.39999962
175937,2020-01-28,PII,0.0771598306,short,93.99102965
178031,2020-01-28,PMCB,0.07205627733,short,94.55000305
158943,2020-01-28,NUE,0.0711672358,short,50.00928265
195697,2020-01-28,SANM,0.07042251218,short,34.95999908
95112,2020-01-28,GGG,0.06809328714,short,53.81472134
24287,2020-01-28,AZUL,0.06650304502,short,43.45999908
2446,2020-01-28,ACMR,0.05882350552,short,39.77999878
27676,2020-01-28,BHLB,0.05874559407,short,29.94058703
107287,2020-01-28,HTLF,0.05797728971,short,48.17432577
254471,2020-01-28,XRX,0.05563453055,short,34.35787089
250806,2020-01-28,WSBC,0.04951639554,short,34.03038416
118598,2020-01-28,JAKK,0.04629629548,short,11.30000019
159861,2020-01-28,NUWE,0.0444444727,short,14.10000038
102147,2020-01-28,HCA,0.0416666758,short,145.7009169
53383,2020-01-28,CR,0.04091881225,short,83.58822981
43969,2020-01-28,CFRX,0.03999996185,short,10.39999962
32376,2020-01-28,BPOP,0.03992434218,short,56.94177253
9539,2020-01-28,ALV,0.03931619143,short,75.5701304
33698,2020-01-28,BRZU,0.03901355034,short,1144.872568
258535,2020-01-28,ZSL,0.0386528994,short,108.5599976
112669,2020-01-28,INCY,0.03851715942,short,79
209863,2020-01-28,SOXL,0.03835637559,short,18.69245468
31416,2020-01-28,BOIL,0.03662419212,short,65.09999847
197370,2020-01-29,SC,0.09577208602,short,23.50366209
146984,2020-01-29,MSTR,0.09027777778,short,157
79023,2020-01-29,EVR,0.08912776899,short,76.27651056
157891,2020-01-29,NSPR,0.08510643862,short,22.95000076
258795,2020-01-29,ZWS,0.07441579031,short,34.41636856
94413,2020-01-29,GE,0.07161138817,short,100.3995515
84985,2020-01-29,FFWM,0.07134078711,short,16.84436583
152347,2020-01-29,NEGG,0.07027026679,short,15.84000015
124693,2020-01-29,KNX,0.07024330948,short,38.16449657
157556,2020-01-29,NSC,0.06075419069,short,209.785814
173149,2020-01-29,PENN,0.05494088456,short,27.64999962
35117,2020-01-29,BTTR,0.05479446686,short,9.239999771
38657,2020-01-29,CALX,0.05377577567,short,9.210000038
175118,2020-01-29,PGR,0.04905169804,short,75.95007997
112917,2020-01-29,INDP,0.04581673704,short,42
207012,2020-01-29,SMG,0.04089670614,short,107.7088816
235049,2020-01-29,UMBF,0.04039791883,short,65.8570049
