,date,symbol,pos_type,fut_gap_filled
27,2018-12-03,AAPL,short,-0.4472755461
443,2018-12-03,F,short,-0.6333344993
181,2018-12-03,TSLA,short,-0.1596643706
375,2018-12-03,NFLX,short,0.2195494117
588,2018-12-03,GOOG,short,-0.3216648525
28,2018-12-04,AAPL,long,-0.6279059314
29,2018-12-06,AAPL,long,-0.3874237381
520,2018-12-06,MSFT,long,0.2666644678
376,2018-12-06,NFLX,long,1.12714495
30,2018-12-10,AAPL,long,0.4584544418
444,2018-12-11,F,short,0.09999975709
521,2018-12-11,MSFT,short,0.06787680516
522,2018-12-12,MSFT,short,-0.1956572753
589,2018-12-27,GOOG,long,0.1985686381
182,2018-12-28,TSLA,short,-0.327114159
183,2019-01-02,TSLA,long,-0.6617975666
377,2019-01-02,NFLX,long,0.249402759
31,2019-01-03,AAPL,long,-0.8751790972
523,2019-01-04,MSFT,short,-0.6594835735
378,2019-01-04,NFLX,short,-0.687266046
184,2019-01-08,TSLA,short,1.134282647
379,2019-01-15,NFLX,short,-0.843937243
185,2019-01-18,TSLA,long,-0.8301102198
186,2019-01-23,TSLA,long,-0.6884724281
32,2019-01-30,AAPL,short,-0.6476062085
187,2019-01-31,TSLA,long,0.3590722976
524,2019-01-31,MSFT,long,-0.4496099581
188,2019-02-26,TSLA,long,0.4946550615
189,2019-03-01,TSLA,long,-0.9853175498
190,2019-03-15,TSLA,long,-0.9674420255
191,2019-04-11,TSLA,long,-0.716496087
525,2019-04-25,MSFT,short,-0.7564367446
445,2019-04-26,F,short,-0.8730159805
590,2019-04-30,GOOG,long,-0.9238636972
33,2019-05-01,AAPL,short,-0.9294235509
192,2019-05-02,TSLA,short,-0.3223283885
34,2019-05-06,AAPL,long,-0.3900777564
446,2019-05-06,F,long,0.03448000374
35,2019-05-13,AAPL,long,-0.813095167
447,2019-05-13,F,long,-0.5714278813
193,2019-05-13,TSLA,long,-0.9387489206
526,2019-05-13,MSFT,long,-0.5231781501
380,2019-05-13,NFLX,long,-0.7748570033
194,2019-05-17,TSLA,long,-0.956041225
36,2019-05-20,AAPL,long,-0.8485391104
195,2019-05-20,TSLA,long,-0.611178964
196,2019-05-21,TSLA,long,0.2684215942
197,2019-05-22,TSLA,long,-0.1906361236
198,2019-05-24,TSLA,short,1.552994845
448,2019-05-31,F,long,-0.7692293075
591,2019-06-03,GOOG,long,-1
381,2019-06-04,NFLX,short,-0.7909198302
37,2019-06-05,AAPL,short,-0.3232770045
199,2019-06-05,TSLA,short,0.344490835
200,2019-06-06,TSLA,short,-0.6636942799
201,2019-06-10,TSLA,short,-0.7843464415
202,2019-06-11,TSLA,short,-0.09904205921
203,2019-06-12,TSLA,short,1.384612124
38,2019-07-01,AAPL,short,-0.5199980026
204,2019-07-01,TSLA,short,-0.4177776396
205,2019-07-03,TSLA,short,-0.6711595632
527,2019-07-19,MSFT,short,-0.00789845303
449,2019-07-25,F,long,-0.9482763482
592,2019-07-26,GOOG,short,-0.9995644142
39,2019-07-31,AAPL,short,-0.3298423564
40,2019-08-05,AAPL,long,-0.8905488852
528,2019-08-05,MSFT,long,-0.825004413
206,2019-08-05,TSLA,long,-0.6265829152
382,2019-08-05,NFLX,long,-0.6874175986
593,2019-08-05,GOOG,long,-0.7828825982
450,2019-08-06,F,short,-0.6842101394
383,2019-08-07,NFLX,long,-0.6763926159
384,2019-08-08,NFLX,short,-0.3471809686
41,2019-08-14,AAPL,long,-0.4354566555
207,2019-08-30,TSLA,short,-0.3360208783
385,2019-09-05,NFLX,long,0.3951644262
451,2019-09-10,F,long,-0.2608706909
386,2019-09-20,NFLX,long,-0.6466890334
387,2019-10-02,NFLX,long,-0.03852268371
208,2019-10-03,TSLA,long,-0.7675249462
42,2019-10-04,AAPL,short,-0.6369305873
388,2019-10-17,NFLX,short,-0.1109275102
389,2019-10-22,NFLX,long,-0.3831625851
452,2019-10-24,F,long,-0.9411751726
529,2019-10-28,MSFT,short,-0.7574932516
209,2019-10-29,TSLA,long,-0.4417096973
210,2019-11-11,TSLA,short,-0.7136567331
211,2019-11-22,TSLA,long,-0.9427406479
212,2019-11-25,TSLA,short,-0.1258851937
43,2019-12-03,AAPL,long,-0.7914528242
390,2019-12-03,NFLX,long,-0.3384824455
391,2019-12-10,NFLX,long,-0.5579929207
213,2019-12-31,TSLA,long,0.6793809973
214,2020-01-03,TSLA,short,-0.6503920875
215,2020-01-07,TSLA,short,-0.1845833623
216,2020-01-13,TSLA,short,-0.9022816117
217,2020-01-14,TSLA,short,-0.002062690858
218,2020-01-16,TSLA,long,-0.1632321526
219,2020-01-21,TSLA,short,-0.9068345775
220,2020-01-22,TSLA,short,-0.4819763516
44,2020-01-27,AAPL,long,-0.7927288004
221,2020-01-27,TSLA,long,-0.0166439979
530,2020-01-27,MSFT,long,-0.4267327054
392,2020-01-27,NFLX,long,-0.1747588431
594,2020-01-27,GOOG,long,-0.8020175295
45,2020-01-29,AAPL,short,-0.5458552658
222,2020-01-30,TSLA,short,-0.7196187232
531,2020-01-30,MSFT,short,-0.4575683468
223,2020-02-03,TSLA,short,-0.9926445111
46,2020-02-04,AAPL,short,-0.7473685814
224,2020-02-05,TSLA,long,-0.6438869224
453,2020-02-05,F,long,-0.9090913595
532,2020-02-05,MSFT,short,0.4373481163
